window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
2520,19,0,1,1.0,0.95,0.9743589743589743,0.12444186210632324,19,20
2530,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.12046432495117188,18,19
2540,17,0,2,1.0,0.8947368421052632,0.9444444444444444,0.11537694931030273,17,19
2550,18,0,2,1.0,0.9,0.9473684210526316,0.12111878395080566,18,20
2560,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.11973309516906738,18,19
2570,19,0,1,1.0,0.95,0.9743589743589743,0.12752175331115723,19,20
2580,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.12107110023498535,18,19
2590,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.14275479316711426,18,19
2600,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.12968230247497559,17,18
2610,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.13764452934265137,18,19
2620,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11604833602905273,17,18
2630,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11611175537109375,17,18
2640,20,0,1,1.0,0.9523809523809523,0.975609756097561,0.13824820518493652,20,21
2650,18,0,2,1.0,0.9,0.9473684210526316,0.12106609344482422,18,20
2660,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.12388086318969727,18,19
2670,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.11203646659851074,16,18
2680,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.1104421615600586,16,18
2690,15,0,2,1.0,0.8823529411764706,0.9375,0.10451507568359375,15,17
2700,16,0,2,1.0,0.8888888888888888,0.9411764705882353,0.11049294471740723,16,18
2710,24,0,2,1.0,0.9230769230769231,0.9600000000000001,0.16167712211608887,24,26
2720,22,0,2,1.0,0.9166666666666666,0.9565217391304348,0.14391231536865234,22,24
2730,22,0,2,1.0,0.9166666666666666,0.9565217391304348,0.14945721626281738,22,24
2740,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.1228024959564209,18,19
2750,18,0,2,1.0,0.9,0.9473684210526316,0.12467217445373535,18,20
2760,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.11883258819580078,17,18
2770,19,0,1,1.0,0.95,0.9743589743589743,0.13868141174316406,19,20
2780,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.1477642059326172,18,19
2790,20,0,1,1.0,0.9523809523809523,0.975609756097561,0.15233397483825684,20,21
2800,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.14870309829711914,21,23
2810,15,0,2,1.0,0.8823529411764706,0.9375,0.10860300064086914,15,17
2820,15,0,2,1.0,0.8823529411764706,0.9375,0.10688614845275879,15,17
2830,15,0,2,1.0,0.8823529411764706,0.9375,0.10381960868835449,15,17
2840,15,0,2,1.0,0.8823529411764706,0.9375,0.11422276496887207,15,17
